landcover,timestep,depth,tea type,code,code_all,code_all1,ml_mean,wrem_mean,d15N,∂15N_change,d13C,∂13C_change,%N,%N_change,%Corg,%C_change,CN_ratio,C:N_change,ABS,abs std. dev,%T,%trans std. dev,%trans_rel,ar_mean,Wt_mean,S_mean,k_mean,asy_mean,ml_g_mean,ml_r_mean,site_pH,site_ORP,site_%DO,site_µS/cm,site_MΩ*cm,site_WC%,site_BD,site_soilTavg,site_WTDavg,site_stdev,precip,acid_rel,arom_rel,carbo_rel,aliph_rel,acid,arom,carbo,aliph,carboArom,carboAliph,carboAcid
BA,12,50,g,g50,tbi_g,tbi_g50,72.78620615,27.21379385,2.862421112,-0.562362322,-27.5586923,1.5188283,3.0794,0.44075,54.8962,-6.00355,17.82691433,-3.93740583,1.358,0.012308534,4.36,0.134164079,19.44,0.540407922,0.522005894,0.021000142,0.005913802,0.461052203,72.78620615,42.64351759,3.22,410.4,46.6,57,0.0175,85.50398864,0.177593333,27.25,-0.286552507,0.16552129,203.4833333,0.0189,-0.0086,-0.1142,-0.0279,0.0579,0.0629,0.1104,0.1314,1.755166932,0.2418,1.906735751
BA,12,50,r,r50,tbi_r,tbi_r50,42.64351759,57.35648241,0.184704368,0.948130032,-26.29276349,1.44110849,0.9581,-1.987075,50.2411,0.760075,52.43826323,-2.61810373,0.6724,0.011148991,21.26,0.545893763,1.48,0.540407922,0.522005894,0.021000142,0.005913802,0.461052203,72.78620615,42.64351759,3.22,410.4,46.6,57,0.0175,85.50398864,0.177593333,27.25,-0.286552507,0.16552129,203.4833333,0.0051,0.0038,-0.0932,-0.0039,0.0543,0.0555,0.1179,0.1248,2.124324324,0.2427,2.171270718
BA,3D,50,g,g50,tbi_g,tbi_g50,61.2034249,38.7965751,5.102427768,-2.802368978,-27.22366696,1.18380296,4,-0.47985,45,3.89265,11.25,2.6395085,1.027,0.003391165,9.4,0.070710678,14.4,0.453603027,0.576430587,0.178255387,0.030165614,0.546396973,61.2034249,37.8093756,3.57,447.4,88.6,122,0.0082,90.35275579,0.096207143,27.23316913,-0.324898903,0.118994183,139.9333333,-0.0161,-0.0223,0.1091,0.0177,0.0551,0.0938,0.1155,0.1416,1.231343284,0.2571,2.096188748
BA,3W,50,g,g50,tbi_g,tbi_g50,69.76760217,30.23239783,2.721488652,-0.421429862,-27.30751595,1.26765195,4.2377,-0.71755,59.7955,-10.90285,14.11036647,-0.22085797,0.7966,0.007092249,15.98,0.294957624,7.82,0.516903797,0.598268936,0.063580077,0.016682486,0.483096232,69.76760217,35.85360994,3.36,488.75,94.5,128.5,0.00785,91.32633784,0.11416,27.25,-0.159850529,0.084031941,345.8,0.0397,0.0346,-0.0412,0.0563,0.0787,0.1061,0.1834,0.2156,1.728557964,0.399,2.330368488
BA,3W,50,r,r50,tbi_r,tbi_r50,35.85360994,64.14639006,0.768567417,0.364266983,-26.32290466,1.47124966,0.9493,-1.978275,53.5133,-2.512125,56.37132624,-6.55116674,0.517,0.007968689,30.42,0.558569602,-7.68,0.516903797,0.598268936,0.063580077,0.016682486,0.483096232,69.76760217,35.85360994,3.36,488.75,94.5,128.5,0.00785,91.32633784,0.11416,27.25,-0.159850529,0.084031941,345.8,-0.0138,-0.013,-0.1494,-0.0491,0.0354,0.0387,0.0617,0.0796,1.594315245,0.1413,1.742937853
BA,6,50,g,g50,tbi_g,tbi_g50,71.36741137,28.63258863,3.315418306,-1.015359516,-26.93577495,0.89591095,4.5849,-1.06475,49.2034,-0.31075,10.73161901,3.15788949,1.2716,0.010968136,5.36,0.134164079,18.44,0.529051987,0.554407896,0.041572488,0.010259559,0.470966541,71.36741137,39.72834053,3.36,488.75,94.5,128.5,0.00785,91.32633784,0.11416,27.25,-0.236531588,0.130898066,242.8666667,0.0101,0.023,-0.1131,-0.0342,0.0491,0.0945,0.1115,0.1251,1.17989418,0.2366,2.270875764
BA,6,50,r,r50,tbi_r,tbi_r50,39.72834053,60.27165947,0.667901374,0.464933026,-26.04158714,1.18993214,0.9165,-1.945475,58.7245,-7.723325,64.07474086,-14.25458136,0.4756,0.003714835,33.48,0.294957624,-10.74,0.529051987,0.554407896,0.041572488,0.010259559,0.470966541,71.36741137,39.72834053,3.36,488.75,94.5,128.5,0.00785,91.32633784,0.11416,27.25,-0.236531588,0.130898066,242.8666667,-0.0034,0.0087,-0.0914,-0.0054,0.0458,0.0604,0.1197,0.1233,1.981788079,0.243,2.613537118
F0Km,3D,8,g,g8,tbi_g,tbi_g8,66.6511198,33.3488802,3.5,-1.19994121,-27,0.960136,5.382165605,-1.862015605,50.53503185,-1.64238185,9.389349113,4.500159387,1.2708,0.020017492,5.36,0.250998008,18.44,0.493300544,0.407236713,0.106339594,0.017792616,0.506699465,66.6511198,52.94888073,3.52,433.1,82.2,149,0.0067,82.72575897,0.165985714,25.88,-0.668,2.96E-14,139.9333333,0.0085,0.0141,-0.1126,-0.0347,0.0475,0.0856,0.112,0.1246,1.308411215,0.2366,2.357894737
F0Km,3D,8,r,r8,tbi_r,tbi_r8,52.94888073,47.05111927,1,0.1328344,-26.1,1.248345,1.278145695,-2.307120695,50.05298013,0.94819487,39.16062177,10.65953773,0.6662,0.00626099,21.54,0.313049517,1.2,0.493300544,0.407236713,0.106339594,0.017792616,0.506699465,66.6511198,52.94888073,3.52,433.1,82.2,149,0.0067,82.72575897,0.165985714,25.88,-0.668,2.96E-14,139.9333333,0.0076,0.0182,-0.0454,0.0132,0.0568,0.0699,0.1657,0.1419,2.370529328,0.3076,2.917253521
F0Km,3W,8,g,g8,tbi_g,tbi_g8,58.02824561,41.97175439,3.1,-0.79994121,-27.2,1.160136,4.966442953,-1.446292953,49.96644295,-1.07379295,10.06081081,3.82869769,1.2448,0.035758915,5.7,0.504975247,18.1,0.431645802,0.602761902,0.218032967,0.028103609,0.568354198,58.02824561,35.39341053,3.096666667,450.2333333,74.3,227.3333333,0.005933333,82.72575897,0.165985714,25.82,-0.00320937,0.130795084,345.8,-9.00E-04,-0.0044,-0.1389,-0.0526,0.0381,0.0671,0.0857,0.1067,1.277198212,0.1924,2.249343832
F0Km,3W,8,r,r8,tbi_r,tbi_r8,35.39341053,64.60658947,1,0.1328344,-26.2,1.348345,1.535714286,-2.564689286,49.5,1.501175,32.23255813,17.58760137,0.7166,0.008173127,19.2,0.393700394,3.54,0.431645802,0.602761902,0.218032967,0.028103609,0.568354198,58.02824561,35.39341053,3.096666667,450.2333333,74.3,227.3333333,0.005933333,82.72575897,0.165985714,25.82,-0.00320937,0.130795084,345.8,0.0012,0.0261,-0.0457,0.0124,0.0504,0.0778,0.1654,0.1411,2.12596401,0.3065,3.281746032
F0Km,6,8,g,g8,tbi_g,tbi_g8,74.90132005,25.09867995,4,-1.69994121,-27.4,1.360136,5.164634146,-1.644484146,52.58536585,-3.69271585,10.18181818,3.70769032,1.172,0.017944358,6.72,0.268328157,17.08,0.56139791,0.432031019,-0.017025199,0.024709739,0.43860209,74.90132005,50.62859195,3.096666667,450.2333333,74.3,227.3333333,0.005933333,82.72575897,0.165985714,25.82,-0.495026634,0.29924321,242.8666667,0.0177,0.0327,-0.0917,-0.0044,0.0567,0.1042,0.1329,0.1549,1.275431862,0.2878,2.343915344
F0Km,6,8,r,r8,tbi_r,tbi_r8,50.62859195,49.37140805,0.7,0.4328344,-26.2,1.348345,1.286624204,-2.315599204,47.84076433,3.16041067,37.18316831,12.63699119,0.8424,0.005813777,14.38,0.178885438,8.36,0.56139791,0.432031019,-0.017025199,0.024709739,0.43860209,74.90132005,50.62859195,3.096666667,450.2333333,74.3,227.3333333,0.005933333,82.72575897,0.165985714,25.82,-0.495026634,0.29924321,242.8666667,-0.0076,-0.0039,-0.0886,-0.0284,0.0416,0.0478,0.1225,0.1003,2.562761506,0.2228,2.944711538
F0Km,12,50,g,g50,tbi_g,tbi_g50,71.30499144,28.69500856,2.761755069,-0.461696279,-27.33765711,1.29779311,3.6853,-0.16515,45.6603,3.23235,12.38984615,1.49966235,1.4212,0.030244008,3.8,0.291547595,20,0.525944465,0.485222157,0.047202057,0.010554155,0.474069254,71.30499144,45.85946246,3.22,457.8666667,78.63333333,118.6666667,0.008866667,88.1396416,0.143826667,25.84742778,-0.367667744,0.87263112,203.4833333,0.0227,0.0067,-0.0893,-0.0177,0.0617,0.0782,0.1353,0.1416,1.730179028,0.2769,2.19286872
F0Km,12,50,r,r50,tbi_r,tbi_r50,45.85946246,54.14053754,-0.016627718,1.149462118,-25.93106955,1.07941455,0.6845,-1.713475,54.3952,-3.394025,79.46705625,-29.64689675,0.7364,0.014774979,18.36,0.642650761,4.38,0.525944465,0.485222157,0.047202057,0.010554155,0.474069254,71.30499144,45.85946246,3.22,457.8666667,78.63333333,118.6666667,0.008866667,88.1396416,0.143826667,25.84742778,-0.367667744,0.87263112,203.4833333,0.0251,0.0303,-0.0112,0.0397,0.0743,0.082,0.1999,0.1684,2.437804878,0.3683,2.690444145
